Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
,,,,10.4,Lipids,yarrowia,12.6,1.100370545,2.533696814,3.65535182861255
,,,,36.6,Lipids,yarrowia,18.9,1.276461804,2.939161922,4.24031432933371
,,,,37.1,Lipids,yarrowia,4.2,0.62324929,1.435084525,2.0703893278914
,,,,54.1,Lipids,yarrowia,0.369,-0.432973634,-0.996958635,-1.43830727860169
,,,,53.8,Lipids,yarrowia,0.3588,-0.445147566,-1.024990149,-1.47874820463019
,,,,8.52,Lipids,yarrowia,0.5229,-0.281581358,-0.648365038,-0.935393024702608
,,,,5.96,Lipids,yarrowia,0.5016,-0.299642472,-0.68995229,-0.99539074674741
,,,,11.56,Lipids,yarrowia,0.6636,-0.178093623,-0.410075721,-0.591614208593586
,,,,9.61,Lipids,yarrowia,0.747,-0.126679398,-0.291690094,-0.42081985187285
,,,,3.06,Lipids,yarrowia,2.124,0.327154512,0.753301103,1.08678376614207
,,,,2.51,Lipids,yarrowia,2.435,0.386498966,0.889946757,1.28392177230762
,,,,2.21,Lipids,yarrowia,0.20475,-0.68877609,-1.585965556,-2.28806464302108
,,,,2.47,Lipids,yarrowia,0.205625,-0.686924085,-1.581701157,-2.28191241603948
,,,,10.94,Lipids,yarrowia,0.3619,-0.441411417,-1.016387348,-1.46633698717691
,,,,10,Lipids,yarrowia,0.441,-0.355561411,-0.818710404,-1.18114943910457
,,,,31.2,Lipids,yarrowia,0.588,-0.230622674,-0.531028331,-0.766111939825723
,,,,5.3,Lipids,yarrowia,1.19,0.075546961,0.173953307,0.250961573533219
,,,,0.7,Lipids,yarrowia,0.9275,-0.032686082,-0.075262485,-0.108580813153921
,,,,0.75,Lipids,yarrowia,1.517775,0.181207395,0.417245447,0.601957936706361
,,,,36.4,Lipids,yarrowia,25,1.397940009,3.218875825,4.64385618977473
,,,,4.9,Lipids,yarrowia,3.1,0.491361694,1.131402111,1.63226821549951
,,,,0.46,Lipids,yarrowia,2.2,0.342422681,0.78845736,1.13750352374994
,,,,0.6,Lipids,yarrowia,0.1,-1,-2.302585093,-3.32192809488736
,,,,35.6,Lipids,yarrowia,0.7,-0.15490196,-0.356674944,-0.514573172829758
,,,,5.8,Lipids,yarrowia,2.6,0.414973348,0.955511445,1.37851162325373
,,,,0.5,Lipids,yarrowia,0.4,-0.397940009,-0.916290732,-1.32192809488736
,,,,0.5,Lipids,yarrowia,1.1,0.041392685,0.09531018,0.137503523749935
,,,,43.9,Lipids,yarrowia,2.1,0.322219295,0.741937345,1.0703893278914
,,,,1.7,Lipids,yarrowia,4.5,0.653212514,1.504077397,2.16992500144231
,,,,0.4,Lipids,yarrowia,4.9,0.69019608,1.589235205,2.29278174922785
,,,,0.75,Lipids,yarrowia,5.1,0.707570176,1.62924054,2.35049724708413
